Year,afghanistan,albania,algeria,american-samoa,andorra,antigua-and-barbuda,argentina,armenia,aruba,australia,austria,azerbaijan,bahamas,bahrain,barbados,belarus,belgium,belize,benin,bermuda,botswana,brazil,british-virgin-islands,bulgaria,burkina-faso,burundi,canada,cayman-islands,central-african-republic,chad,chile,china,colombia,comoros,costa-rica,croatia,cuba,curacao,cyprus,democratic-republic-of-congo,denmark,dominica,dominican-republic,ecuador,equatorial-guinea,eritrea,estonia,ethiopia,faroe-islands,fiji,finland,france,french-polynesia,gabon,gambia,germany,gibraltar,greece,greenland,grenada,guam,guatemala,guinea,guyana,haiti,hong-kong,hungary,iceland,iran,iraq,ireland,isle-of-man,israel,italy,jamaica,japan,jordan,kazakhstan,kuwait,latvia,lebanon,liberia,libya,liechtenstein,lithuania,luxembourg,macao,madagascar,malawi,malaysia,maldives,mali,mali_pop_data,malta,marshall-islands,mauritius,mexico,monaco,montenegro,mozambique,namibia,nauru,nepal,netherlands,new-caledonia,new-zealand,niger,north-korea,north-macedonia,northern-mariana-islands,norway,oman,palau,panama,paraguay,peru,poland,portugal,puerto-rico,qatar,romania,russia,rwanda,samoa,san-marino,saudi-arabia,senegal,serbia,seychelles,sierra-leone,singapore,slovenia,somalia,south-africa,south-korea,south-sudan,spain,suriname,sweden,switzerland,taiwan,tajikistan,tanzania,thailand,togo,tonga,trinidad-and-tobago,turkmenistan,turks-and-caicos-islands,tuvalu,uae,uganda,united-kingdom,united-states,uruguay,venezuela,yemen,zimbabwe
2001,19688632,3153612,31200985,58324,67820,76215,37480493,3133133,90691,19248143,8039626,8282023,329626,730257,265377,10201209,10309255,248100,7212041,61763,1761930,178211881,20657,8034860,12249764,6465729,31002763,41054,3844773,8538804,15523978,1272739582,39837875,547741,4053222,4506759,11139127,140631,964830,50106657,5360748,68153,8669040,12845521,719270,2461927,1387995,69018932,46245,841320,5188002,59014772,255049,1306590,1479449,81514568,27721,11072182,56386,107936,161524,12009194,8445717,759809,8511728,6801542,10177955,285238,66674851,25425663,3829018,76398,6237982,56994993,2625405,127065731,5163310,15281285,1991674,2359249,4389200,2981648,5275916,33376,3560142,441250,439122,16709665,11498818,23542517,287324,11583824,11583824,402151,54413,1225272,99394288,32444,633065,18220716,1856402,10363,24956071,15981636,225987,3889579,12031430,23512522,2053384,79479,4514017,2374653,19828,3061024,5211541,27014909,38662862,10371819,3832131,678831,21797590,146235530,8223941,185530,27335,22085929,9938027,7917793,81262,4857096,4121337,1982487,9070747,47229714,47064790,6394431,40966450,487394,8896748,7224403,22333125,6408810,35414469,63649892,5145426,103210,1338567,4635094,19578,9621,3454198,24763325,59092016,285470493,3300939,24880203,19143457,11910978
2000,19542982,3182021,30774621,58230,66097,75055,37070774,3168523,89101,19017963,8010428,8190337,325014,711442,264657,10256483,10264343,240406,6998023,61371,1726985,175873720,20104,8097691,11882888,6307659,30683313,39658,3759170,8259137,15351799,1264099069,39215135,536758,3979193,4548434,11105791,141424,948237,48616317,5340655,68346,8540791,12626507,684977,2392880,1396877,67031867,45660,832509,5176209,58665453,250927,1272935,1437539,81551677,27741,11038109,56184,107432,160188,11735894,8336967,759051,8360225,6731195,10202055,281462,65544383,24628858,3768950,75562,6116958,56966397,2612205,126803861,5056174,15236253,1934901,2392530,4320642,2895224,5154790,33026,3599637,435628,431896,16216431,11229387,22945150,282507,11239101,11239101,399212,54224,1215930,97873442,32465,633324,17768505,1819141,10377,24559500,15899135,221537,3855266,11622665,23367059,2037936,80338,4491202,2344253,19726,3001731,5123819,26654439,38504431,10300626,3827108,645937,21919876,146844839,8109989,184008,26823,21547390,9704287,7935022,80060,4584067,4053602,1984339,8721465,46813266,46788591,6114440,40741651,478998,8871043,7182059,22194731,6272998,34463704,63066603,5008035,102603,1332203,4569132,18744,9638,3275333,24020697,58850043,282398554,3292224,24427729,18628700,11834676
1999,19262847,3208260,30346083,57594,65655,73821,36653031,3206030,86867,18800892,7991377,8101449,320272,692133,264170,10308283,10224220,232733,6788589,60981,1691558,173486281,19586,8162301,11533554,6180180,30399778,38295,3655360,7981889,15176410,1255433236,38585033,526443,3901430,4605329,11070094,143251,931600,47227238,5319854,68698,8411374,12412046,655029,2356477,1403498,65077579,45203,823422,5165491,58352208,246821,1240764,1396499,81556965,27695,10993862,56106,106823,158395,11463504,8174897,758014,8208941,6641965,10230256,277626,64474745,23820734,3719912,74668,5994088,56945068,2596271,126555063,4950775,15256255,1877427,2426351,4250020,2789743,5057998,32615,3633944,429349,425518,15730885,10973956,22368655,278111,10916993,10916993,395983,53834,1205413,96334810,32394,633723,17337893,1778277,10383,24143157,15812487,217118,3833494,11231469,23204498,2023778,76237,4462142,2312600,19380,2943120,5026031,26252239,38354956,10233369,3810115,613302,22039007,147336388,8009587,182211,26404,21009660,9478564,7959744,78833,4475145,3966481,1986261,8384479,46364681,46520444,5850145,40542232,470458,8848876,7142198,22057214,6189565,33499772,62442651,4867941,101982,1327063,4501079,17984,9640,3097563,23279247,58635202,279181581,3278963,23966960,18114552,11716454
1998,18493132,3232175,29924668,56603,65186,72572,36233195,3240550,84355,18601667,7975862,8041096,315398,672484,263642,10357466,10188538,224907,6584183,60603,1655699,171039804,19079,8234927,11201063,6035340,30144812,36947,3555064,7709115,14996742,1246836105,37944414,515959,3821421,4659932,11033758,145250,914660,45895524,5298992,68938,8282126,12199693,629734,2322753,1411147,63136493,44865,813947,5153544,58080344,242882,1209832,1356189,81524383,27636,10939475,56123,106200,156357,11184032,7992545,756697,8060896,6546057,10260967,274285,63461421,23053488,3678667,73727,5869504,56938738,2576567,126308390,4844403,15474254,1819544,2462337,4178784,2639224,4980962,32190,3665510,423574,418776,15250934,10732456,21810542,273796,10620475,10620475,392483,53164,1194880,94767284,32209,633903,16923195,1735953,10377,23703328,15722594,212756,3810044,10854920,23023636,2012844,68501,4431676,2279727,18852,2885177,4923449,25818226,38379990,10179415,3785238,580997,22161242,147672728,7914645,180385,25997,20472580,9261526,7985506,77664,4449975,3866293,1988279,8056862,45852166,46250259,5699436,40362357,461749,8828633,7108221,21913672,6156805,32626498,61745217,4728297,101343,1322572,4431517,17239,9634,2921130,22537658,58438321,275835018,3262683,23503819,17608133,11548364
1997,17788819,3253719,29476031,55578,64682,71218,35815971,3271418,81858,18410250,7967093,8000061,310171,652643,263224,10400924,10154872,217117,6387026,60227,1619354,168546707,18591,8318966,10897353,5923862,29882752,35579,3458472,7450874,14809289,1237801448,37291946,505033,3739421,4711373,10998129,147145,897471,44822198,5277382,69081,8150076,11987838,605570,2291561,1421490,61233480,44495,804572,5139943,57839363,239036,1179806,1317002,81436087,27564,10875273,56072,105549,154330,10905381,7842806,755211,7915172,6441236,10286220,271356,62480533,22330770,3640150,72793,5743283,56925800,2554954,126027985,4733665,15820432,1761468,2498879,4107551,2383300,4902346,31770,3694896,418411,411700,14778903,10512678,21249178,269040,10359301,10359301,388839,52358,1184257,93183094,31968,633607,16521724,1693242,10363,23249417,15629905,208421,3775852,10494201,22827373,2004234,60817,4405333,2245588,18297,2827992,4818289,25365386,38396130,10130549,3759518,550591,22289535,147939972,7666732,178543,25596,19938377,9051539,7997525,76531,4405028,3760649,1989828,7734313,45285048,45962393,5589410,40180050,452887,8807869,7086998,21764843,6117069,31785846,60989108,4592550,100658,1318171,4363672,16515,9630,2746119,21876935,58250198,272395438,3245069,23037561,17108681,11362401
1996,17106595,3271331,28984634,54500,64147,69798,35389362,3298898,79417,18211845,7958041,7949101,304933,632756,262793,10436459,10123229,209840,6203860,59840,1582169,166037122,18120,8401376,10621210,5930507,29593849,34194,3363570,7200291,14615483,1228298836,36632573,494288,3656234,4758628,10963031,148938,880058,44118709,5256007,69166,8012314,11775221,582573,2264073,1434670,59347649,44138,796538,5124718,57623178,235189,1150601,1279070,81300865,27491,10803806,55960,104846,152261,10632293,7683115,753571,7770593,6333444,10308267,269137,61598378,21639332,3606728,71981,5612494,56898973,2532894,125726223,4608676,16144247,1703318,2534287,4034243,2203966,4820066,31337,3722022,413202,404297,14317454,10310528,20689051,263841,10131906,10131906,385269,51538,1172542,91586555,31719,633004,16079553,1650066,10345,22783969,15538616,204086,3728457,10149937,22614347,1994226,53367,4381510,2209958,17732,2771606,4711655,24907304,38401408,10087645,3732811,529265,22417869,148233411,6715510,176713,25235,19410280,8843423,7993446,75550,4347370,3651903,1990667,7472450,44661603,45660168,5434894,39996473,443834,8785494,7069691,21612429,6035600,31140733,60211096,4445883,100195,1313434,4301093,15806,9611,2572735,21249572,58078586,268984347,3226633,22572110,16614326,11178171
1995,16418912,3284364,28478022,53401,62928,68398,34946110,3322782,77050,18002999,7947296,7889330,299554,612934,262303,10461696,10095198,203556,6046511,59465,1543634,163515328,17674,8477579,10353263,5932783,29289423,32802,3276706,6888856,14416796,1218144426,35970101,483760,3572856,4807100,10926703,150592,862418,43285791,5235197,69201,7869753,11561683,560740,2157220,1452775,57476536,43805,792246,5107943,57420354,231446,1121964,1242155,81123262,27412,10727927,55788,104060,150094,10363090,7468347,751689,7627316,6243859,10327169,267681,60794809,20948858,3579482,71454,5478734,56885126,2509372,125433969,4458195,16434324,1655222,2570151,3959640,2142422,4733063,30890,3747267,407635,396641,13869138,10112816,20136888,258208,9921094,9921094,381849,50702,1160207,89969572,31482,632066,15594830,1605370,10316,22305571,15446668,199701,3673893,9813918,22385536,1983964,48717,4359333,2172672,17209,2716067,4603917,24449055,38401978,10051248,3704947,515133,22533134,148557451,5686897,174902,24886,18888857,8632681,7982462,74735,4324149,3543875,1991106,7210930,43986084,45393418,5302042,39814573,434490,8758496,7038297,21455813,5916173,30560071,59424834,4279566,99977,1307822,4226623,15101,9585,2433988,20680831,57930364,265660556,3208300,22107286,16103339,10994041
1994,15455555,3293999,27937006,52288,61037,67072,34488696,3373713,74710,17805504,7935365,7821880,293997,593254,261712,10475395,10069182,198416,5923394,59111,1503544,160980472,17255,8548466,10091256,5586408,28981189,31418,3187844,6592998,14210674,1207286675,35295461,473478,3489152,4819426,10887207,152089,844444,41511985,5213800,69198,7723934,11347652,539992,2042500,1475727,55620211,44131,790803,5088490,57230065,227682,1093611,1205882,80882126,27282,10647416,55700,103174,147843,10094921,7262112,749546,7486091,6168707,10342434,266224,59985749,20248073,3559398,71094,5346292,56883819,2484182,125119269,4278166,16747151,1641106,2606454,3888144,2125198,4641296,30447,3770456,402043,388779,13436121,10131799,19588703,252201,9711797,9711797,378563,49840,1147161,88314424,31253,630968,14912873,1558449,10274,21794751,15349478,195264,3620890,9493324,22105225,1982458,47780,4336739,2133675,16770,2661385,4495301,23983258,38375459,10018104,3675749,500683,22632776,148829113,6732665,173107,24535,18367528,8416997,7969951,73846,4314953,3438613,1991449,6959828,43267982,45165780,5142863,39623725,426548,8723460,6991538,21293437,5803993,29598323,58610010,4092612,99731,1301393,4133037,14402,9559,2329024,20125021,57785900,262273589,3189945,21640833,15553171,10858594
1993,14003760,3300711,27354327,51174,59156,65834,34027240,3457349,72360,17631511,7905278,7740107,288164,573755,260995,10480484,10043738,194177,5706181,58739,1462262,158440875,16855,8611535,9840075,5555220,28668166,30038,3089146,6448280,13998386,1195855558,34614735,463318,3405372,4792403,10840934,153387,825986,39580844,5193775,69169,7576074,11132829,520236,1981419,1504436,53791672,45096,789198,5066605,57053732,223714,1065390,1168309,80573488,27118,10563441,55708,102173,145541,9831868,7046097,747189,7345940,6089808,10357421,263932,59755430,19295818,3545700,70710,5212998,56869454,2459062,124779576,4075759,16979697,1653645,2638889,3818796,2132771,4544970,30012,3788528,396697,380712,13020100,10257233,19050077,245845,9506510,9506510,375241,48944,1133252,86648447,31024,629554,14206254,1509834,10226,21267359,15251086,190782,3573742,9193078,21773017,1996893,47948,4312136,2071868,16380,2607499,4386202,23513882,38319296,9992103,3645017,486041,22721656,148897270,7904740,171362,24181,17846461,8196551,7957071,73040,4295689,3334131,1991685,6620729,42525440,44932861,5018172,39420546,422375,8683405,6936121,21125717,5717806,28469017,57776082,4078392,99492,1293974,4031698,13704,9517,2223284,19462958,57647463,258779753,3171747,21172100,14988047,10794918
1992,12057433,3303739,26748303,50078,57283,64659,33568285,3574555,70192,17462504,7840816,7643338,281973,554470,260212,10475907,10016455,190299,5457778,58322,1420695,155900790,16476,8668540,9598555,5743085,28347641,28677,2991727,6302926,13782297,1183813389,33939039,452990,3321939,4798321,10783748,154376,810431,38332302,5175469,69112,7427340,10914222,501334,1921153,1540381,52011554,46005,786859,5042121,56864048,219621,1037446,1127152,80205030,26945,10478388,55688,101040,143173,9576630,6832195,744998,7205780,6007685,10370060,261262,59372016,18385673,3528367,70307,5079389,56833185,2434574,124444693,3866887,17043417,1620633,2662883,3745407,2052626,4444820,29581,3795742,391516,372370,12623342,10115420,18526708,239136,9310572,9310572,371880,48015,1118714,84993164,30794,627665,13816881,1461687,10129,20702133,15150685,186262,3532563,8907644,21439991,2018023,48128,4286557,1985227,16004,2554382,4277051,23047248,38252276,9978744,3612629,471293,22800963,148725601,7657208,169799,23808,17281350,7974514,7943502,72417,4301566,3228231,1991340,6428141,41760755,44703709,4956969,39202251,419521,8640272,6873179,20952222,5656208,27580723,56939020,4106219,99260,1285502,3926369,13014,9466,2116231,18801966,57509240,255175339,3153732,20700461,14433771,10641501
1991,10745167,3302081,26133905,48992,55434,63634,33105763,3617631,67864,17271086,7755638,7538267,276058,535415,259402,10457617,9987070,186462,5293046,57874,1380584,153336445,16090,8721660,9365064,5594828,28015761,27340,2898052,6042428,13561945,1170626171,33272628,442277,3239414,4844522,10713812,155021,799061,37194812,5158325,69141,7278402,10686279,483142,2039220,1565627,49937430,46810,784832,5013854,56645215,215444,1009995,1083536,79801988,26988,10391547,55657,99758,140739,9329557,6615734,744096,7066055,5923447,10374747,257991,57990883,17846378,3504805,69770,4942812,56794489,2411867,124073993,3666379,16993792,1339500,2678964,3666734,1939236,4341971,29168,3793425,386399,362390,12245260,9831584,18017464,232150,9123969,9123969,368670,47053,1104259,83351595,30564,624954,13561175,1415617,9902,20130779,15046584,181720,3481599,8634640,21115534,2036686,48302,4261886,1895187,15640,2502044,4167996,22583006,38167382,9986415,3578450,456486,22842482,148455402,7485681,168701,23459,16654276,7754289,7964456,71754,4378169,3120620,1989797,6732702,40910959,44487412,4867185,38997063,415981,8594171,6795393,20770620,5556306,26890906,56099865,3990215,99010,1276224,3821782,12329,9354,2008383,18171935,57359454,251560189,3135374,20226214,13895851,10377815
1990,10694796,3295066,25518074,47818,53569,63328,32637657,3556539,65712,17048003,7678729,7427836,270679,517418,258868,10428525,9959560,182589,5133419,57470,1341474,150706446,15617,8767778,9131361,5483793,27657204,26027,2809221,5827069,13342868,1153704252,32601393,431119,3158253,4873707,10626680,155446,788500,35987541,5144623,69481,7129004,10449837,465549,2149960,1570674,47878073,47479,780430,4986545,56412897,211089,983028,1040616,79370196,27317,10302255,55599,99047,138263,9084780,6354145,747116,6925331,5838574,10375989,255019,55793629,17658381,3485374,68865,4803254,56756561,2392030,123686321,3480587,16866563,1674938,2689391,3593700,2209731,4236983,28765,3785847,381267,350227,11882762,9539665,17517054,224957,8945026,8945026,365392,46047,1090290,81720428,30329,621442,13303459,1369011,9598,19616530,14944548,177264,3397389,8370648,20799523,2044174,48002,4241636,1804524,15293,2449968,4059195,22109099,38064255,10007346,3543776,441675,22836234,148005704,7319962,168186,23132,16004763,7536001,7987529,71057,4325388,3022209,1986024,6999096,39877570,44120039,4750817,38889889,412756,8548406,6711693,20586174,5417860,26206012,55228410,3875947,98727,1266518,3720278,11709,9182,1900151,17586630,57210442,248083732,3117012,19750579,13375121,10113893
1989,10673168,3282182,24889507,46288,51639,63636,32165766,3448186,64596,16796588,7619391,7348874,265493,500349,258759,10387610,9937170,178695,4979680,57111,1301671,148003411,15091,8804430,8895234,5373697,27244406,24888,2724109,5670619,13128619,1134414723,31923117,419584,3079001,4874182,10527187,155773,777592,34825891,5133930,69975,6980033,10210185,448420,2102131,1568047,46195954,47490,772704,4964475,56169948,206571,956509,999732,78916438,27688,10211979,55298,99224,135759,8839538,6136166,752897,6784161,5752708,10397173,253042,53644736,17442590,3483314,67740,4666782,56711524,2373365,123270648,3310954,16704993,2210013,2693388,3525502,2507600,4130042,28357,3773180,376949,337336,11536734,9174895,17020143,217937,8774122,8774122,361894,44988,1076961,80233749,30078,617860,13087604,1288070,9306,19145077,14850225,173156,3333755,8116075,20494965,2039426,45859,4227074,1713838,14957,2398535,3951288,21624311,37939013,10020315,3513735,426896,22788040,147341508,7141974,167886,22803,15353227,7321832,7977877,70343,4159163,2945693,1980180,7035378,38668684,43567512,4706626,38847318,408360,8504982,6646208,20404386,5264332,25522898,54324004,3763657,98379,1256210,3621303,11227,9017,1791840,17028543,57076099,244954094,3097889,19275292,12872362,9846346
1988,10383460,3263019,24243018,44532,49654,63982,31690792,3366838,64332,16525903,7583761,7261151,260452,483337,258762,10333480,9917995,174817,4831624,56740,1261272,145253973,14593,8835815,8663720,5271840,26815064,23956,2657235,5483038,12918389,1115889802,31256727,408070,3001461,4865828,10425433,156043,766412,33750052,5126107,70397,6834207,9969788,431587,2051546,1559586,44511537,46959,764370,4946561,55911478,201740,930464,960837,78477530,28000,10120191,54778,99877,133079,8600111,5977175,758450,6644959,5665617,10434265,249917,52111868,16987346,3498030,66636,4535396,56670888,2354805,122798302,3157177,16430590,2129153,2690470,3457148,2439639,4021565,27944,3755541,373432,324478,11206789,8754781,16524616,211160,8617474,8617474,358439,43687,1064330,78892015,29802,614267,12956772,1207949,9022,18720745,14762318,169474,3316002,7872252,20197464,2031932,42381,4209653,1623433,14632,2347821,3844437,21143799,37812076,10023310,3487970,412142,22719093,146464378,6953975,167452,22542,14713715,7113636,7963941,69585,4056215,2880504,1973494,7160461,37393853,42988455,4814879,38781722,402139,8468137,6592671,20211361,5100020,24844147,53410965,3653420,97939,1244633,3525110,10816,8844,1683681,16489323,56952648,242287814,3077760,18800770,12387238,9568739
1987,10322758,3237676,23586101,42842,47635,64353,31216453,3351364,64450,16259249,7572380,7132685,255618,466565,258654,10270609,9900221,170980,4688787,56367,1220361,142466264,14117,8865755,8434996,5157769,26436889,23075,2615594,5300852,12712784,1096851843,30603048,396887,2924595,4849962,10326910,156262,755021,32712574,5121510,70808,6692720,9729376,414769,2000355,1547706,42851957,46477,754778,4932176,55641541,196856,905016,923914,78090895,28272,10029141,54248,100599,130259,8369359,5820774,763706,6508349,5578533,10469192,246032,50541490,16598019,3513700,65554,4412030,56644530,2336245,122268885,3014694,16072478,2048477,2681836,3390870,2372449,3911939,27542,3732005,370526,311808,10890514,8295993,16033103,204256,8474329,8474329,355169,42122,1051809,77553504,29500,610811,12964793,1165430,8759,18326204,14675301,166055,3299450,7636591,19903893,2023097,38923,4187036,1533351,14309,2297231,3739050,20671360,37654411,10020203,3461929,397391,22653807,145312019,6735829,166773,22437,14089798,6909837,7948306,68897,3947865,2814742,1966495,7158004,36119333,42405253,4893809,38694533,396867,8437994,6544453,19995931,4946293,24099415,52479181,3544927,97392,1231442,3430501,10400,8665,1575909,15974216,56826322,239853168,3058787,18328655,11915563,9277488
1986,10448442,3207128,22882553,41221,45605,64712,30748326,3327182,64553,16012299,7567248,7009127,250804,450196,258370,10201670,9887815,167191,4551382,55995,1179263,139643355,13656,8892100,8207827,5041706,26116071,22195,2583631,5118160,12514502,1077770523,29960101,386068,2847849,4828684,10235480,156458,743446,31725132,5119369,71215,6554325,9490096,397276,1949611,1536023,41455309,46011,742658,4918172,55371639,192196,880340,888980,77803357,28506,9936726,53727,100893,127462,8148185,5671380,768508,6375097,5492791,10505772,243357,48913237,16148221,3515669,64663,4295405,56639054,2315871,121710305,2879799,15721289,1968093,2668867,3308010,2305860,3800110,27159,3702828,368170,299491,10588428,7909819,15558740,197225,8334588,8334588,352091,40527,1039028,76224365,29171,607629,12909797,1127989,8527,17936926,14592531,162797,3281671,7408364,19613038,2012926,35459,4167459,1443446,13985,2246960,3636027,20208437,37436798,10011030,3434981,382328,22587322,144046482,6497804,166365,22390,13483349,6710885,7931913,68325,3842917,2749727,1959550,6908579,34877834,41808708,4819667,38590808,392372,8411791,6503528,19761790,4798281,23324270,51542094,3439370,97078,1216370,3336773,9986,8496,1468697,15486807,56721909,237512783,3041205,17860872,11465444,8983044
1985,10512221,3171725,22132905,39663,43809,65048,30287112,3300896,64478,15785682,7562114,6891140,245935,434375,257911,10133211,9880534,163436,4419552,55611,1138704,136783180,13202,8917076,7979185,4948024,25843922,21313,2553075,4967590,12326396,1060239979,29326260,375650,2771463,4803325,10149044,156639,731664,30800051,5119452,71596,6417798,9254311,378379,1899243,1525782,40285965,45575,727461,4902175,55108106,187578,856482,855958,77638808,28674,9840141,53220,100576,124675,7932185,5531661,772671,6245539,5411680,10542754,241577,47266160,15753856,3505769,64376,4182681,56636465,2292030,121119031,2751492,15413315,1888975,2655104,3226750,2239724,3684313,26785,3672852,366466,287700,10297746,7625078,15108135,190383,8187651,8187651,349118,38962,1025769,74872006,28807,604622,12680065,1093311,8313,17540571,14515704,159702,3268356,7187618,19325487,2001504,32041,4152637,1353289,13644,2197065,3535498,19746610,37179160,9996896,3406279,365868,22525363,142896392,6266752,166517,22241,12890245,6520705,7912069,67833,3749419,2685994,1952518,6630637,33752964,41232709,4706975,38471920,387171,8389913,6469824,19511876,4660598,22569625,50594940,3336508,97055,1199785,3246887,9577,8329,1379536,15038915,56643045,235146182,3024218,17402304,11036918,8690515
1984,10243686,3131726,21393530,38168,42181,65362,29832197,3272102,64174,15579476,7558563,6777225,241166,419217,257279,10069349,9873600,159721,4293070,55197,1099170,133888775,12753,8939490,7751476,4842268,25602075,20433,2523538,4920556,12147758,1044172197,28689032,365664,2696200,4776362,10065539,156806,719678,29879852,5121314,71936,6282104,9022979,357995,1849594,1516124,39202890,45135,710561,4881748,54845980,183146,833417,824798,77568572,28788,9740382,52638,99618,121885,7718971,5402084,776007,6119932,5333571,10580906,239677,45628402,15377032,3490931,64500,4077001,56620238,2264095,120470727,2629939,15147590,1813986,2640608,3163558,2174194,3564547,26420,3643837,365779,276591,10015017,7339002,14686454,184388,8030099,8030099,346086,37437,1011941,73489654,28407,601821,12426223,1061995,8125,17141610,14441927,156755,3250340,6973849,19045154,1988682,28735,4140235,1273306,13299,2147577,3437892,19285646,36876560,9974819,3374447,348241,22465037,141892552,6056729,166779,22096,12310361,6341801,7889236,67346,3666262,2624370,1945141,6369020,32768207,40664361,4603039,38329925,382617,8371290,6441449,19249250,4529501,21857176,49636724,3232244,97022,1184747,3162165,9166,8197,1308331,14617944,56568253,232766280,3008255,16953234,10625687,8398567
1983,9951449,3087911,20682111,36735,40432,65408,29377137,3238291,63683,15383076,7559110,6669007,236586,404772,256505,10004049,9866532,156053,4171526,54765,1060717,130977370,12315,8956433,7531184,4726506,25360726,19572,2495097,4859173,11976513,1029226907,28042329,356137,2622532,4751890,9984591,156960,707477,29005175,5124332,72269,6147213,8795873,336744,1799814,1505714,38235187,44669,693593,4855733,54592379,179042,811098,795563,77566064,28855,9636353,51984,98177,119067,7512048,5282274,778372,5997739,5252127,10620934,237131,44027986,14903737,3472903,64598,3979093,56607516,2232782,119793752,2514785,14885966,1736028,2623151,3106990,2109151,3423592,26055,3612640,365440,266253,9740088,7058317,14292862,179339,7863944,7863944,342886,35975,998000,72080310,27985,599330,12163328,1033085,7832,16740664,14369647,154101,3219827,6766606,18771363,1974441,25594,4128572,1204626,12973,2098499,3343276,18826906,36536141,9943821,3339381,330454,22403762,140854123,5859396,166944,21973,11746020,6171874,7866039,66859,3585773,2564773,1937234,6142513,31865176,40053748,4502541,38169760,379409,8355107,6418413,18976104,4401502,21170717,48670565,3126635,96981,1171273,3082202,8758,8099,1237572,14228932,56501612,230389964,2993285,16509596,10237391,8106356
1982,10088289,3041179,20000096,35367,38598,65231,28922762,3202011,63116,15168445,7571289,6567522,232177,391017,255642,9938931,9857343,152409,4054385,54338,1023009,128065095,11889,8970485,7321817,4602271,25101518,18729,2467635,4622828,11807408,1013483166,27405194,347053,2550780,4728725,9908874,157048,696227,28219219,5126398,72626,6014979,8572607,315741,1751045,1495374,37213393,44164,676967,4826861,54319646,174343,789585,768272,77610430,28863,9528815,51341,96534,116189,7332790,5170731,779639,5877684,5166905,10655624,233995,42500030,14467682,3451212,64654,3892839,56585843,2199606,119098142,2406349,14634179,1652921,2604945,3070133,2047602,3265457,25689,3580825,365020,256692,9470990,6784347,13921029,174523,7696349,7696349,339668,34569,984176,70656783,27573,596968,11901827,1005520,7672,16347124,14296533,151967,3185721,6564445,18502087,1958275,22647,4114931,1138301,12666,2050247,3251678,18374372,36188644,9904424,3301071,312608,22331065,139848005,5652900,166885,21804,11201154,6008392,7841800,66435,3509197,2507219,1927956,5951805,31022417,39403422,4398297,37982149,377288,8340723,6390952,18692874,4278908,20499922,47700340,3023343,96931,1157140,3005972,8355,7993,1167856,13880052,56450133,228001418,2979182,16071654,9872292,7803855
1981,11155195,2992389,19351357,34059,36987,65076,28471285,3167876,62614,14930052,7566316,6472524,227956,377430,254684,9877121,9843592,148764,3941569,53907,982747,125168060,11472,8978412,7123730,4490743,24815786,17904,2441010,4409225,11637613,997259502,26785982,337986,2481334,4703980,9848560,157024,687170,27457783,5126981,72932,5885244,8352602,296950,1703789,1485768,35818844,43613,660630,4799865,54016749,168892,768904,742846,77684489,28819,9418994,50719,95222,113221,7165502,5067427,779686,5760197,5077742,10680620,230882,40476251,14067260,3424827,64558,3816745,56532910,2166657,118385723,2306655,14397391,1573026,2588051,3027222,1989690,3112015,25346,3550539,364473,248695,9207310,6519891,13564594,169663,7532864,7532864,336617,33219,969807,69233769,27284,594062,11640015,987394,7691,15969792,14217318,150228,3160622,6366262,18235202,1935200,19902,4099855,1075624,12386,2003092,3163299,17932344,35851094,9856752,3259445,294887,22237470,139002880,5441966,166190,21596,10678211,5852029,7814389,65930,3437108,2451722,1916320,5934938,30232561,38731905,4293866,37758649,375859,8326687,6353698,18400556,4160745,19890930,46727292,2925865,96846,1142695,2932934,7957,7874,1100180,13563558,56395846,225654008,2966076,15638426,9529105,7506526
1980,12486631,2941651,18739378,32886,35611,64889,28024803,3135123,62267,14706322,7547561,6383060,223752,362595,253575,9817257,9828986,145133,3833939,53565,938578,122288383,11109,8980606,6932967,4312834,24511510,17100,2415276,4408230,11469828,982372466,26176195,328328,2414303,4680144,9809107,156851,679327,26708686,5125392,72978,5755800,8135845,282509,1657982,1476983,34945469,43054,644582,4779418,53713830,163591,749078,718586,77786703,28734,9307148,50106,94838,110286,6987767,4972609,778176,5646676,4978544,10698679,228263,38520664,13653369,3391387,64022,3744608,56329482,2135546,117624196,2216903,14172710,1493870,2572037,2963702,1932169,2962720,25003,3521206,363741,245332,8948162,6267369,13215707,164887,7372581,7372581,333587,31988,954865,67705186,27076,589324,11413587,975994,7635,15600442,14130387,148599,3147168,6173177,17973650,1907023,17613,4085776,1017462,12252,1956987,3078912,17492406,35521429,9785252,3214568,277450,22125224,138257420,5247532,164905,21346,10171710,5703869,7777010,65290,3367477,2400729,1901570,5892224,29463549,38170501,4192012,37491666,375112,8311763,6319113,18100281,4045965,19297659,45737753,2838110,96708,1127852,2862903,7598,7731,1014048,13284026,56326328,223140018,2953750,15210443,9204938,7049926
